id,furniture_id,style,room,name,type,price,image_link,purchase_link
1,B001,MODERN,BEDROOM,TUFJORD,BED ,1899,https://www.dropbox.com/scl/fi/g0w43b5hb1r1884qlh4nd/Tufjord.jpg?rlkey=dw8denbjxuarx5nn27l2i8jqp&st=gvosn0r4&dl=1,https://www.ikea.com/my/en/p/tufjord-upholstered-bed-frame-tallmyra-white-black-luroey-s49555324/
2,B002,MODERN,BEDROOM,TALLASEN,BED ,1149,https://www.dropbox.com/scl/fi/g0w43b5hb1r1884qlh4nd/Tufjord.jpg?rlkey=dw8denbjxuarx5nn27l2i8jqp&st=gvosn0r4&dl=1,https://www.ikea.com/my/en/p/taellasen-upholstered-bed-frame-kulsta-light-beige-70564779/
3,B003,MODERN,BEDROOM,IDANAS,BED ,1999,https://www.dropbox.com/scl/fi/j8w1244s156gzicb1lk0e/Idanas.jpg?rlkey=cbkr4vrvi2q2qux3pv2r9wscy&st=xt31grxb&dl=1,https://www.ikea.com/my/en/p/idanaes-upholstered-storage-bed-naggen-beige-50588093/
4,L001,MODERN,BEDROOM,DYKARKLOCKA,LAMP,249,https://www.dropbox.com/scl/fi/789r9rfoi7wb9xol0dk5b/Dykarklocka.jpg?rlkey=5qtv4185tf65143iestl3oo8h&st=5js18h2f&dl=1,https://www.ikea.com/my/en/p/dykarklocka-pendant-lamp-shade-white-stained-oak-veneer-80561662/
5,L002,MODERN,BEDROOM,REGOLIT,LAMP,23,https://www.dropbox.com/scl/fi/ycw454u1d3wikmf57hq7y/Vittsjo.jpg?rlkey=rvetfv6e4xszz0wm9ajpnfsul&st=eqwbkhoi&dl=1,https://www.ikea.com/my/en/p/regolit-hemma-pendant-lamp-white-s49471230/
6,CH001,MODERN,BEDROOM,ODGER,CHAIR,325,https://www.dropbox.com/scl/fi/d32f369vri156xjdydb8b/Regolit.jpg?rlkey=qzcy9azb8sb05h7e5zyctdn2r&st=g43xz37a&dl=1,https://www.ikea.com/my/en/p/odger-chair-red-50516553/
7,CH002,MODERN,BEDROOM,KRYLBO,CHAIR,225,https://www.dropbox.com/scl/fi/kldsnbigrerct7fa8ud0k/Krylbo.jpg?rlkey=jkgetvxxfm910b8btvn16782r&st=4keh4fhe&dl=1,https://www.ikea.com/my/en/p/krylbo-chair-tonerud-dark-beige-80566749/
8,CH003,MODERN,BEDROOM,GRONSTA,CHAIR,295,https://www.dropbox.com/scl/fi/m70tf0z42xjswn5nk0lca/Gronsta.jpg?rlkey=l3tzzssig2lijdb9wz7pc9go2&st=gy3mnoui&dl=1,https://www.ikea.com/my/en/p/groensta-chair-in-outdoor-white-20559761/
9,CT001,MODERN,BEDROOM,VITTSJO,COFFEE TABLE,199,https://www.dropbox.com/scl/fi/ycw454u1d3wikmf57hq7y/Vittsjo.jpg?rlkey=rvetfv6e4xszz0wm9ajpnfsul&st=eqwbkhoi&dl=1,https://www.ikea.com/my/en/p/vittsjoe-coffee-table-black-brown-glass-00213313/
10,CT002,MODERN,BEDROOM,LACK_1,COFFEE TABLE,99,https://www.dropbox.com/scl/fi/dgx9uru2imcc6k5mru27i/Lack.jpg?rlkey=c6pptd1e0hy900ihfiduii7rz&st=o819x97l&dl=1,https://www.ikea.com/my/en/p/lack-coffee-table-black-brown-20352987/
