id,furniture_id,style,room,name,type,price,image_link,purchase_link
1,B001,MODERN,BEDROOM,TUFJORD,bed,"1,899",https://www.ikea.com/my/en/images/products/tufjord-upholstered-bed-frame-tallmyra-white-black-luroey__1259500_pe926690_s5.jpg?f=xl,https://www.ikea.com/my/en/p/tufjord-upholstered-bed-frame-tallmyra-white-black-luroey-s49555324/
2,B002,MODERN,BEDROOM,TALLASEN,bed,"1,149",https://www.ikea.com/my/en/images/products/taellasen-upholstered-bed-frame-kulsta-light-beige__1198826_pe904230_s5.jpg?f=xl,https://www.ikea.com/my/en/p/taellasen-upholstered-bed-frame-kulsta-light-beige-70564779/
3,B003,MODERN,BEDROOM,IDANAS,bed,"1,999",https://www.ikea.com/my/en/images/products/idanaes-upholstered-storage-bed-naggen-beige__1322816_pe942270_s5.jpg?f=xl,https://www.ikea.com/my/en/p/idanaes-upholstered-storage-bed-naggen-beige-50588093/
4,L001,MODERN,BEDROOM,DYKARKLOCKA,lamp,249,https://www.ikea.com/my/en/images/products/dykarklocka-pendant-lamp-shade-white-stained-oak-veneer__1280193_pe931682_s5.jpg?f=xl,https://www.ikea.com/my/en/p/dykarklocka-pendant-lamp-shade-white-stained-oak-veneer-80561662/
5,L002,MODERN,BEDROOM,RÖDFLIK,lamp,99,https://www.ikea.com/my/en/images/products/roedflik-pendant-lamp-grey-green__1327085_pe944358_s5.jpg?f=xl,https://www.ikea.com/my/en/p/roedflik-pendant-lamp-grey-green-90582758/
6,CH001,MODERN,BEDROOM,ODGER,chair,325,https://www.ikea.com/my/en/images/products/odger-chair-red__1038449_pe839684_s5.jpg?f=xl,https://www.ikea.com/my/en/p/odger-chair-red-50516553/
7,CH002,MODERN,BEDROOM,KRYLBO,chair,225,https://www.ikea.com/my/en/images/products/krylbo-chair-tonerud-dark-beige__1208495_pe908606_s5.jpg?f=xl,https://www.ikea.com/my/en/p/krylbo-chair-tonerud-dark-beige-80566749/
8,CH003,MODERN,BEDROOM,GRONSTA,chair,295,https://www.ikea.com/my/en/images/products/groensta-chair-in-outdoor-white__1243689_pe920720_s5.jpg?f=xl,https://www.ikea.com/my/en/p/groensta-chair-in-outdoor-white-20559761/
9,CT001,MODERN,BEDROOM,VITTSJO,coffee table,199,https://www.ikea.com/my/en/images/products/vittsjoe-coffee-table-black-brown-glass__0135348_pe292039_s5.jpg?f=xl,https://www.ikea.com/my/en/p/vittsjoe-coffee-table-black-brown-glass-00213313/
10,CT002,MODERN,BEDROOM,LACK_1,coffee table,99,https://www.ikea.com/my/en/images/products/lack-coffee-table-black-brown__57540_pe163122_s5.jpg?f=xl,https://www.ikea.com/my/en/p/lack-coffee-table-black-brown-20352987/
